"export-plot data (NetLogo 7.0.0)"
"frisbee.nlogox"
"12/08/2025 17:58:58:371 -0500"

"MODEL SETTINGS"
"run-speed-variance","walk-speed-variance","run-speed","line-spacing","disc-speed","walk-speed","num-per-line","max-throws"
"0","0","1.5","5","1.7","0.5","8","10000"

"""Player Lines"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","12000","0","14","true","""Line 1""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Line 1""","true","0","1","102","10001"
"""Line 2""","true","0","1","12","10001"
"""Line 3""","true","0","1","19","10001"
"""Line 4""","true","0","1","108","10001"
"""Throw-Dif""","true","0","1","45","10001"

"""Line 1""",,,,"""Line 2""",,,,"""Line 3""",,,,"""Line 4""",,,,"""Throw-Dif"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","8","102","true","0","8","12","true","0","8","19","true","0","8","108","true","0","0","45","true"
"1","8","102","true","1","8","12","true","1","9","19","true","1","7","108","true","1","1","45","true"
"2","7","102","true","2","8","12","true","2","9","19","true","2","8","108","true","2","0","45","true"
"3","8","102","true","3","8","12","true","3","9","19","true","3","7","108","true","3","1","45","true"
"4","7","102","true","4","8","12","true","4","9","19","true","4","8","108","true","4","0","45","true"
"5","8","102","true","5","8","12","true","5","9","19","true","5","7","108","true","5","1","45","true"
"6","7","102","true","6","9","12","true","6","9","19","true","6","7","108","true","6","0","45","true"
"7","8","102","true","7","8","12","true","7","9","19","true","7","7","108","true","7","1","45","true"
"8","8","102","true","8","8","12","true","8","8","19","true","8","8","108","true","8","0","45","true"
"9","8","102","true","9","8","12","true","9","9","19","true","9","7","108","true","9","1","45","true"
"10","7","102","true","10","8","12","true","10","9","19","true","10","8","108","true","10","0","45","true"
"11","8","102","true","11","8","12","true","11","9","19","true","11","7","108","true","11","1","45","true"
"12","7","102","true","12","8","12","true","12","9","19","true","12","8","108","true","12","0","45","true"
"13","7","102","true","13","8","12","true","13","9","19","true","13","8","108","true","13","1","45","true"
"14","7","102","true","14","8","12","true","14","9","19","true","14","8","108","true","14","0","45","true"
"15","7","102","true","15","8","12","true","15","10","19","true","15","7","108","true","15","1","45","true"
"16","7","102","true","16","8","12","true","16","9","19","true","16","8","108","true","16","0","45","true"
"17","8","102","true","17","8","12","true","17","9","19","true","17","7","108","true","17","1","45","true"
"18","8","102","true","18","8","12","true","18","8","19","true","18","8","108","true","18","0","45","true"
"19","8","102","true","19","8","12","true","19","9","19","true","19","7","108","true","19","1","45","true"
"20","7","102","true","20","8","12","true","20","9","19","true","20","8","108","true","20","0","45","true"
"21","8","102","true","21","8","12","true","21","9","19","true","21","7","108","true","21","1","45","true"
"22","7","102","true","22","8","12","true","22","9","19","true","22","8","108","true","22","0","45","true"
"23","8","102","true","23","8","12","true","23","9","19","true","23","7","108","true","23","1","45","true"
"24","7","102","true","24","8","12","true","24","9","19","true","24","8","108","true","24","0","45","true"
"25","8","102","true","25","8","12","true","25","9","19","true","25","7","108","true","25","1","45","true"
"26","7","102","true","26","8","12","true","26","9","19","true","26","8","108","true","26","0","45","true"
"27","8","102","true","27","8","12","true","27","9","19","true","27","7","108","true","27","1","45","true"
"28","7","102","true","28","8","12","true","28","9","19","true","28","8","108","true","28","0","45","true"
"29","8","102","true","29","8","12","true","29","9","19","true","29","7","108","true","29","1","45","true"
"30","8","102","true","30","8","12","true","30","8","19","true","30","8","108","true","30","0","45","true"
"31","8","102","true","31","8","12","true","31","9","19","true","31","7","108","true","31","1","45","true"
"32","8","102","true","32","8","12","true","32","8","19","true","32","8","108","true","32","0","45","true"
"33","8","102","true","33","8","12","true","33","9","19","true","33","7","108","true","33","1","45","true"
"34","8","102","true","34","8","12","true","34","8","19","true","34","8","108","true","34","0","45","true"
"35","8","102","true","35","8","12","true","35","9","19","true","35","7","108","true","35","1","45","true"
"36","7","102","true","36","9","12","true","36","9","19","true","36","7","108","true","36","0","45","true"
"37","7","102","true","37","8","12","true","37","10","19","true","37","7","108","true","37","1","45","true"
"38","7","102","true","38","8","12","true","38","9","19","true","38","8","108","true","38","0","45","true"
"39","8","102","true","39","8","12","true","39","9","19","true","39","7","108","true","39","1","45","true"
"40","8","102","true","40","8","12","true","40","8","19","true","40","8","108","true","40","0","45","true"
"41","8","102","true","41","8","12","true","41","9","19","true","41","7","108","true","41","1","45","true"
"42","7","102","true","42","8","12","true","42","9","19","true","42","8","108","true","42","0","45","true"
"43","8","102","true","43","8","12","true","43","9","19","true","43","7","108","true","43","1","45","true"
"44","7","102","true","44","8","12","true","44","9","19","true","44","8","108","true","44","0","45","true"
"45","8","102","true","45","8","12","true","45","9","19","true","45","7","108","true","45","1","45","true"
"46","7","102","true","46","8","12","true","46","9","19","true","46","8","108","true","46","0","45","true"
"47","8","102","true","47","8","12","true","47","9","19","true","47","7","108","true","47","1","45","true"
"48","7","102","true","48","8","12","true","48","9","19","true","48","8","108","true","48","0","45","true"
"49","8","102","true","49","8","12","true","49","9","19","true","49","7","108","true","49","1","45","true"
"50","7","102","true","50","9","12","true","50","9","19","true","50","7","108","true","50","0","45","true"
"51","8","102","true","51","8","12","true","51","9","19","true","51","7","108","true","51","1","45","true"
"52","7","102","true","52","8","12","true","52","9","19","true","52","8","108","true","52","0","45","true"
"53","8","102","true","53","8","12","true","53","9","19","true","53","7","108","true","53","1","45","true"
"54","7","102","true","54","8","12","true","54","9","19","true","54","8","108","true","54","0","45","true"
"55","8","102","true","55","8","12","true","55","9","19","true","55","7","108","true","55","1","45","true"
