"export-plot data (NetLogo 7.0.0)"
"frisbee.nlogox"
"12/08/2025 17:26:40:580 -0500"

"MODEL SETTINGS"
"run-speed-variance","walk-speed-variance","run-speed","line-spacing","disc-speed","walk-speed","num-per-line","max-throws"
"0","0","1.5","15","1.7","0.5","8","10000"

"""Ticks per Throw"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5200","0","14","true","""Right""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Left""","true","0","1","45","4998"
"""Right""","true","0","1","105","5002"

"""Left""",,,,"""Right"""
"x","y","color","pen down?","x","y","color","pen down?"
"1","10","45","true","1","10","105","true"
"2","11","45","true","2","10","105","true"
"3","11","45","true","3","11","105","true"
"4","10","45","true","4","11","105","true"
"5","11","45","true","5","10","105","true"
"6","11","45","true","6","10","105","true"
"7","11","45","true","7","11","105","true"
"8","10","45","true","8","10","105","true"
"9","10","45","true","9","10","105","true"
"10","11","45","true","10","10","105","true"
"11","11","45","true","11","10","105","true"
"12","10","45","true","12","10","105","true"
"13","11","45","true","13","10","105","true"
"14","11","45","true","14","11","105","true"
"15","10","45","true","15","11","105","true"
"16","11","45","true","16","10","105","true"
"17","11","45","true","17","10","105","true"
"18","10","45","true","18","10","105","true"
"19","10","45","true","19","11","105","true"
"20","10","45","true","20","11","105","true"
"21","11","45","true","21","11","105","true"
"22","11","45","true","22","11","105","true"
"23","11","45","true","23","10","105","true"
"24","11","45","true","24","10","105","true"
"25","10","45","true","25","11","105","true"
"26","10","45","true","26","11","105","true"
"27","10","45","true","27","10","105","true"
"28","11","45","true","28","10","105","true"
"29","11","45","true","29","10","105","true"
"30","11","45","true","30","11","105","true"
"31","11","45","true","31","10","105","true"
"32","11","45","true","32","10","105","true"
"33","10","45","true","33","11","105","true"
"34","11","45","true","34","10","105","true"
"35","11","45","true","35","11","105","true"
"36","11","45","true","36","10","105","true"
"37","11","45","true","37","11","105","true"
"38","10","45","true","38","11","105","true"
"39","10","45","true","39","11","105","true"
"40","10","45","true","40","10","105","true"
"41","10","45","true","41","10","105","true"
"42","10","45","true","42","11","105","true"
"43","10","45","true","43","10","105","true"
"44","11","45","true","44","10","105","true"
"45","10","45","true","45","11","105","true"
"46","10","45","true","46","11","105","true"
"47","11","45","true","47","11","105","true"
"48","11","45","true","48","10","105","true"
"49","11","45","true","49","10","105","true"
"50","11","45","true","50","10","105","true"
"51","10","45","true","51","11","105","true"
"52","11","45","true","52","10","105","true"
"53","11","45","true","53","11","105","true"
"54","10","45","true","54","10","105","true"
"55","11","45","true","55","10","105","true"
"56","10","45","true","56","10","105","true"
"57","10","45","true","57","11","105","true"
"58","10","45","true","58","10","105","true"
"59","10","45","true","59","10","105","true"
"60","11","45","true","60","11","105","true"
"61","10","45","true","61","11","105","true"
"62","10","45","true","62","11","105","true"
"63","10","45","true","63","11","105","true"
"64","11","45","true","64","11","105","true"
"65","11","45","true","65","11","105","true"
"66","10","45","true","66","10","105","true"
"67","11","45","true","67","10","105","true"
