L1,L2,L3,L4
0:54,0:53,0:53,0:56
1:04,1:02,1:01,1:03
1:11,1:10,1:09,1:10
1:19,1:18,1:15,1:17
1:25,1:24,1:24,1:26
1:35,1:33,1:33,1:35
1:42,1:41,1:42,1:44
1:50,1:48,1:50,1:51
1:57,1:55,1:57,1:59
2:06,2:03,2:05,2:07
2:13,2:11,2:14,2:15
2:21,2:19,2:22,2:23
2:28,2:26,2:29,2:31
2:35,2:32,2:36,2:37
2:44,2:42,2:44,2:46
2:50,2:49,2:52,2:54
2:59,2:57,3:00,3:02
3:08,3:06,3:07,3:08
3:16,3:15,3:14,3:17
3:24,3:21,3:23,3:25
3:32,3:30,3:31,3:32
3:39,3:38,3:38,3:40
3:46,3:45,3:45,3:47
3:56,3:55,3:55,3:56
4:05,4:03,4:03,4:05
4:16,4:14,4:11,4:15
4:25,4:22,4:22,4:25
4:35,4:33,4:31,4:32
4:42,4:40,4:38,4:40
4:49,4:47,4:46,4:49
4:59,4:56,4:55,4:56
5:10,5:07,5:02,5:04
5:18,5:16,5:11,5:13
5:27,5:25,5:21,5:22
5:36,5:34,5:28,5:31
5:44,5:42,5:39,5:40
5:53,5:52,5:46,5:47
6:00,5:59,5:53,5:56
6:08,6:06,6:00,6:04
6:14,6:13,6:10,6:13
6:23,6:20,6:22,6:25
6:31,6:29,6:32,6:35
6:40,6:38,6:42,6:44
6:49,6:47,6:49,6:52
6:57,6:55,6:59,7:00
7:11,7:05,7:10,7:11
7:19,7:16,7:18,7:19
7:29,7:25,7:25,7:27
7:40,7:37,7:33,7:36
7:54,7:51,7:42,7:44
8:04,8:01,7:51,7:54
8:12,8:09,8:00,8:02
8:20,8:19,8:08,8:09
8:28,8:27,8:15,8:17
8:36,8:34,8:23,8:25
8:44,8:42,8:33,8:35
8:53,8:51,8:43,8:46
9:09,9:07,8:53,8:56
9:18,9:16,9:10,9:12
9:27,9:24,9:20,9:23
9:35,9:33,9:32,9:34
9:46,9:43,9:40,9:44
9:55,9:51,9:49,9:52
10:08,10:04,9:57,10:00
10:16,10:13,10:06,10:08
10:26,10:22,10:13,10:16
10:38,10:34,10:21,10:25
10:46,10:44,10:31,10:35
10:55,10:52,10:41,10:45
11:04,11:01,10:53,10:56
11:15,11:12,11:02,11:05
11:23,11:20,11:10,11:15
11:36,11:33,11:21,11:24
11:44,11:40,11:31,11:34
11:54,11:50,11:41,11:46
12:03,12:00,11:51,11:55
12:10,12:07,12:03,12:06
12:20,12:17,12:14,12:17
12:31,12:27,12:26,12:30
12:41,12:37,12:33,12:38
12:50,12:47,12:43,12:47
12:59,12:56,12:55,12:56
13:11,13:08,13:03,13:05
13:22,13:20,13:12,13:15
13:30,13:29,13:20,13:22
13:40,13:36,13:38,13:40
